Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-04-20,,Crop,Rajasthan,Pest Incidence,,,,,"Low Probability Of Heatwave Conditions Likely During Some Days Of Week 2 Over Central &Amp; Adjoining South  Peninsular  Parts  Of  The  Country  (Madhya  Pradesh,  East  Rajasthan,  Southern  Parts  Of  Uttar Pradesh,  Chhattisgarh,  Jharkhand,  &Amp;  Vidarbha).  Appreciably  Above  Normal  (+3.1  To  +5.0°C) Maximum  Temperatures  Are  Likely  Over  Some  Parts  Of  Jammu  &Amp;  Kashmir,  And  Above-Normal Maximum Temperatures (+1.6 To +3.0°C) Are Likely Over Most Parts Of Northwest &Amp; Central India, And Many Parts  Of  The  East  &Amp;  Northeast,  And  The  West  Coast  Of  India.  Near-Normal  Weekly  Maximum Temperatures Are Likely In Isolated Places Over The Rest Of The Country",,,,,," Low Probability of Heatwave conditions likely during some days of week 2 over central &amp; adjoining south peninsular parts of the country (Madhya Pradesh, East Rajasthan, southern parts of Uttar Pradesh, Chhattisgarh, Jharkhand, &amp; Vidarbha). Appreciably above normal (+3.1 to +5.0°C) maximum temperatures are likely over some parts of Jammu &amp; Kashmir, and above-normal maximum temperatures (+1.6 to +3.0°C) are likely over most parts of Northwest &amp; Central India, and many parts of the East &amp; Northeast, and the West coast of India. Near-normal weekly maximum temperatures are likely in isolated places over the rest of the country.",Minutes of the meeting of CWWG as on 20.04.2026.pdf,1,Minutes of the meeting of CWWG as on 20.04.2026_p1_c3,0.9,VERIFIED,rule_based
2026-04-27,,Crop,Odisha,Pest Incidence,,,,,"Appreciably Above Normal (+3.1 To +5.0°C) Maximum Temperatures Are Likely Over Parts Of Jammu &Amp; Kashmir,  Punjab,  Haryana,  Rajasthan,  Madhya  Pradesh,  Uttar  Pradesh,  Bihar,  Jharkhand,  Odisha, Gangetic West Bengal, Chhattisgarh, Vidarbha, Rayalaseema, Telangana &Amp; Kerala; Normal To Abovenormal Maximum Temperatures Are Likely Over Most Parts Of The Country During The Week",,,,,," Appreciably above normal (+3.1 to +5.0°C) maximum temperatures are likely over parts of Jammu &amp; Kashmir, Punjab, Haryana, Rajasthan, Madhya Pradesh, Uttar Pradesh, Bihar, Jharkhand, Odisha, Gangetic West Bengal, Chhattisgarh, Vidarbha, Rayalaseema, Telangana &amp; Kerala; normal to abovenormal maximum temperatures are likely over most parts of the country during the week.",Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c3,0.9,VERIFIED,rule_based
2026-04-27,,Crop,Odisha,Pest Incidence,,,,,"Low  Probability  Of  Heatwave  Conditions  Likely  During  Some  Days  Of  The  Week  Over  Rajasthan  &Amp; Adjoining Punjab &Amp; Haryana, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Odisha, &Amp; Vidarbha. Appreciably Above Normal Maximum Temperatures Are Likely Over Some Parts Of Jammu &Amp; Kashmir, And Above-Normal Maximum Temperatures (+1.6 To +3.0°C) Are Likely Over Most Parts Of Northwest &Amp; Central India, And Many Parts Of The East &Amp; Northeast, And The West Coast Of India. Near-Normal Weekly Maximum Temperatures Are Likely In Isolated Places Over The Rest Of The Country",,,,,," Low Probability of Heatwave conditions likely during some days of the week over Rajasthan &amp; adjoining Punjab &amp; Haryana, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Odisha, &amp; Vidarbha. Appreciably above normal maximum temperatures are likely over some parts of Jammu &amp; Kashmir, and above-normal maximum temperatures (+1.6 to +3.0°C) are likely over most parts of Northwest &amp; Central India, and many parts of the East &amp; Northeast, and the West coast of India. Near-normal weekly maximum temperatures are likely in isolated places over the rest of the country.",Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c4,0.9,VERIFIED,rule_based
2026-05-04,,Crop,Odisha,Pest Incidence,,,,,"Low  Probability  Of  Heatwave  Conditions  Likely  During  Some  Days  Of  Week  2  Over  Rajasthan  &Amp; Vidarbha,  And  Adjoining  Southern  Parts  Of  Madhya  Pradesh  And  Chhattisgarh.  Above-Normal Maximum Temperatures (+1.6 To +3.0°C) Are Likely Over Many Parts Of Rajasthan And Gujarat, Along The  West  Coast,  And  Over  Odisha  &Amp;  Coastal  Andhra  Pradesh  On  The  East  Coast.  Below-Normal Maximum Temperatures (-1.6 To",,,,,," Low Probability of Heatwave conditions likely during some days of week 2 over Rajasthan &amp; Vidarbha, and adjoining southern parts of Madhya Pradesh and Chhattisgarh. Above-normal maximum temperatures (+1.6 to +3.0°C) are likely over many parts of Rajasthan and Gujarat, along the west coast, and over Odisha &amp; Coastal Andhra Pradesh on the east coast. Below-normal maximum temperatures (-1.6 to",Minutes of the meeting of CWWG as on 04.05.2026.pdf,1,Minutes of the meeting of CWWG as on 04.05.2026_p1_c4,0.9,VERIFIED,rule_based
2026-05-04,,Crop,West Bengal,Pest Incidence,,,,,"0°C) Are Likely Over Parts Of Bihar, Jharkhand, And Gangetic West Bengal. Near-Normal Weekly Maximum Temperatures Are Likely Over The Rest Of The Country",,,,,,"3.0°C) are likely over parts of Bihar, Jharkhand, and Gangetic West Bengal. Near-normal weekly maximum temperatures are likely over the rest of the country.",Minutes of the meeting of CWWG as on 04.05.2026.pdf,1,Minutes of the meeting of CWWG as on 04.05.2026_p1_c5,0.9,VERIFIED,rule_based
2026-05-11,,Crop,Gujarat,Pest Incidence,,,,,Heat  Wave  Conditions  Likely  To  Prevail  In  Isolated  Pockets  Over  Gujarat  State  And  West  Rajasthan During 09Th,,,,,,Heat wave conditions likely to prevail in isolated pockets over Gujarat state and West Rajasthan during 09th,Minutes of the meeting of CWWG as on 11.05.2026.pdf,1,Minutes of the meeting of CWWG as on 11.05.2026_p1_c3,0.9,VERIFIED,rule_based
2026-05-11,,Crop,Gujarat,Pest Incidence,,,,,"Low Probability Of Heatwave Conditions Likely During Some Days Of Week 2 Over Rajasthan, Gujarat, Vidarbha, Madhya Pradesh And Uttar Pradesh. Appreciably Above Normal (+3.1 To +5.0°C) Maximum Temperatures Are Likely Over Parts Of Rajasthan &Amp; Adjoining Madhya Pradesh, Gujarat; Above Normal (+1.6 To +3.0°C) Temperatures Are Likely Along The Northwest, Central &Amp; Adjoining Eastern Parts Of The Country. Near-Normal Maximum Temperatures Are Likely Across Rest Of The Country During The Week",,,,,," Low Probability of Heatwave conditions likely during some days of week 2 over Rajasthan, Gujarat, Vidarbha, Madhya Pradesh and Uttar Pradesh. Appreciably above normal (+3.1 to +5.0°C) maximum temperatures are likely over parts of Rajasthan &amp; adjoining Madhya Pradesh, Gujarat; above normal (+1.6 to +3.0°C) temperatures are likely along the northwest, central &amp; adjoining eastern parts of the country. Near-normal maximum temperatures are likely across rest of the country during the week.",Minutes of the meeting of CWWG as on 11.05.2026.pdf,1,Minutes of the meeting of CWWG as on 11.05.2026_p1_c4,0.9,VERIFIED,rule_based
2026-05-18,,Crop,Maharashtra,Pest Incidence,,,,,No Significant Change In Maximum Temperatures Likely Over Maharashtra And Gujarat State Till 19Th And Gradual Fall By 2-3°C During 20Th,,,,,,No significant change in maximum temperatures likely over Maharashtra and Gujarat State till 19th and gradual fall by 2-3°C during 20th,Minutes of the meeting of CWWG as on 18.05.2026.pdf,1,Minutes of the meeting of CWWG as on 18.05.2026_p1_c3,0.9,VERIFIED,rule_based
2026-05-18,,Crop,Punjab,Pest Incidence,,,,,"Low Probability Of Warm Night Conditions Is Likely Over Punjab, Haryana, And Adjoining West Uttar Pradesh On Some Days Of The Week",,,,,,"Low probability of warm night conditions is likely over Punjab, Haryana, and adjoining West Uttar Pradesh on some days of the week.",Minutes of the meeting of CWWG as on 18.05.2026.pdf,1,Minutes of the meeting of CWWG as on 18.05.2026_p1_c4,0.9,VERIFIED,rule_based
2026-05-25,,Crop,Punjab,Pest Incidence,,,,,"Low  To  Moderate  Probability  Of  Heatwave  Conditions  Likely  Over  Some  Parts  Of  Northwest  India (Punjab, Haryana, Rajasthan, Uttar Pradesh, Jammu &Amp; Kashmir, Southern Parts Of Himachal Pradesh &Amp; Uttarakhand) During Some/Many Days Of The Week",,,,,," Low to moderate probability of Heatwave conditions likely over some parts of northwest India (Punjab, Haryana, Rajasthan, Uttar Pradesh, Jammu &amp; Kashmir, southern parts of Himachal Pradesh &amp; Uttarakhand) during some/many days of the week.",Minutes of the meeting of CWWG as on 25.05.2026.pdf,1,Minutes of the meeting of CWWG as on 25.05.2026_p1_c2,0.9,VERIFIED,rule_based
2026-05-25,,Crop,Punjab,Pest Incidence,,,,,"Low Probability Of Warm Night Conditions Is Likely Over Punjab, Haryana, And Adjoining West Uttar Pradesh On Some Days Of The Week",,,,,,"Low probability of warm night conditions is likely over Punjab, Haryana, and adjoining West Uttar Pradesh on some days of the week.",Minutes of the meeting of CWWG as on 25.05.2026.pdf,1,Minutes of the meeting of CWWG as on 25.05.2026_p1_c3,0.9,VERIFIED,rule_based
2026-06-01,,Crop,Punjab,Pest Incidence,,,,,"Low Probability Of Heatwave Conditions Likely Over Some Parts Of Northwest India (Rajasthan, South Punjab, South Haryana, South Uttar Pradesh) During Some Days Of The Week",,,,,,"Low probability of Heatwave conditions likely over some parts of northwest India (Rajasthan, south Punjab, south Haryana, south Uttar Pradesh) during some days of the week.",Minutes of the meeting of CWWG as on 01.06.2026.pdf,1,Minutes of the meeting of CWWG as on 01.06.2026_p1_c3,0.9,VERIFIED,rule_based
2026-06-01,,Crop,Odisha,Pest Incidence,,,,,"Above-Normal (+1.6 To +3.0°C) To Appreciably Above-Normal (+3.1 To +5.0°C)  Maximum Temperatures Are Likely Over Some Parts Of East India (Bihar, Gangetic West Bengal &Amp; Odisha). Nearnormal  Weekly  Maximum  Temperatures  (-1.5  To  +1.5°C)  Are  Likely  Across  The  Rest  Of  The  Country During The Week",,,,,," Above-normal (+1.6 to +3.0°C) to appreciably above-normal (+3.1 to +5.0°C) maximum temperatures are likely over some parts of East India (Bihar, Gangetic West Bengal &amp; Odisha). Nearnormal weekly maximum temperatures (-1.5 to +1.5°C) are likely across the rest of the country during the week.",Minutes of the meeting of CWWG as on 01.06.2026.pdf,1,Minutes of the meeting of CWWG as on 01.06.2026_p1_c4,0.9,VERIFIED,rule_based
2026-06-01,,Crop,Odisha,Pest Incidence,,,,,"Maximum Temperatures Are Very Likely To Be 4-5 Deg Celsius Below Normal Over Most Parts Of The Country  During  Week  2 Except  Many  Parts  Of  Odisha,  West  Bengal,  Bihar,  And  Arunachal Pradesh, West Rajasthan, Punjab",,,,,,"Maximum temperatures are very likely to be 4-5 Deg Celsius below normal over most parts of the country during week 2 except many parts of Odisha, West Bengal, Bihar, and Arunachal Pradesh, West Rajasthan, Punjab.",Minutes of the meeting of CWWG as on 01.06.2026.pdf,1,Minutes of the meeting of CWWG as on 01.06.2026_p1_c5,0.9,VERIFIED,rule_based
2026-06-08,,Crop,Odisha,Pest Incidence,,,,,"Low Probability Of Heatwave Conditions Likely Over Parts Of Northwest India (Uttar Pradesh) And Parts Of East India (Bihar, Jharkhand, Odisha, Gangetic West Bengal &Amp; Chhattisgarh) And Adjoining Central India (Madhya Pradesh) On Some Days Of The Week",,,,,,"Low probability of Heatwave conditions likely over parts of northwest India (Uttar Pradesh) and parts of East India (Bihar, Jharkhand, Odisha, Gangetic West Bengal &amp; Chhattisgarh) and adjoining central India (Madhya Pradesh) on some days of the week.",Minutes of the meeting of CWWG as on 08.06.2026.pdf,1,Minutes of the meeting of CWWG as on 08.06.2026_p1_c2,0.9,VERIFIED,rule_based
2026-06-15,,Crop,Andhra Pradesh,Pest Incidence,,,,,Low Probability Of Heatwave Conditions Very Likely In Isolated Pockets Over Coastal Andhra Pradesh &Amp; Yanam During 11Th-12Th June; Telangana During 11Th-13Th June; Vidarbha During 11Th-12Th June,,,,,,Low probability of Heatwave conditions very likely in isolated pockets over Coastal Andhra Pradesh &amp; Yanam during 11th-12th June; Telangana during 11th-13th June; Vidarbha during 11th-12th June.,Minutes of the meeting of CWWG as on 15.06.2026.pdf,1,Minutes of the meeting of CWWG as on 15.06.2026_p1_c2,0.9,VERIFIED,rule_based
2026-06-15,,Crop,Maharashtra,Pest Incidence,,,,,Hot  And  Humid  Weather  Conditions  Likely  To  Prevail  Over  Konkan  &Amp;  Goa  During  11Th-13Th  June; Madhya Maharashtra During 11Th-12Th June,,,,,, Hot and humid weather conditions likely to prevail over Konkan &amp; Goa during 11th-13th June; Madhya Maharashtra during 11th-12th June.,Minutes of the meeting of CWWG as on 15.06.2026.pdf,1,Minutes of the meeting of CWWG as on 15.06.2026_p1_c3,0.9,VERIFIED,rule_based
2026-06-15,,Crop,Punjab,Pest Incidence,,,,,"Low  Probability  Of  Heatwave  Conditions  Likely  Over  Parts  Of  Northwest  India  (Rajasthan,  Punjab, Haryana &Amp; Uttar Pradesh) On Some Days Of The Week",,,,,,"Low probability of Heatwave conditions likely over parts of northwest India (Rajasthan, Punjab, Haryana &amp; Uttar Pradesh) on some days of the week.",Minutes of the meeting of CWWG as on 15.06.2026.pdf,1,Minutes of the meeting of CWWG as on 15.06.2026_p1_c4,0.9,VERIFIED,rule_based
2026-06-15,,Crop,Punjab,Pest Incidence,,,,,The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level,,,,,, The overall intensity of pests and diseases remained below the Economic Threshold Level.,Minutes of the meeting of CWWG as on 15.06.2026.pdf,1,Minutes of the meeting of CWWG as on 15.06.2026_p1_c5,0.9,VERIFIED,rule_based
2026-06-22,,Crop,Chhattisgarh,Pest Incidence,,,,,"Heat Wave Conditions Very Likely In Isolated Pockets Over Chhattisgarh On 22Nd &Amp; 23Rd June; East Madhya  Pradesh,  Vidarbha  During  22Nd-25Th  June,  East  Uttar  Pradesh  During  22Nd-24Th  June; Telangana On 22Nd June; With Severe Heat Wave Conditions In Isolated Pockets During 22Nd-24Th June",,,,,," Heat wave conditions very likely in isolated pockets over Chhattisgarh on 22nd &amp; 23rd June; East Madhya Pradesh, Vidarbha during 22nd-25th June, East Uttar Pradesh during 22nd-24th June; Telangana on 22nd June; with severe heat wave conditions in isolated pockets during 22nd-24th June.",Minutes of the meeting of CWWG as on 22.06.2026.pdf,1,Minutes of the meeting of CWWG as on 22.06.2026_p1_c2,0.9,VERIFIED,rule_based
2026-06-22,,Crop,Punjab,Pest Incidence,,,,,"Low  Probability  Of  Heatwave  Conditions  Likely  Over  Parts  Of  Northwest  India  (Rajasthan,  Punjab, Haryana &Amp; Uttar Pradesh), And Central India (Vidarbha And Adjoining Regions Of North Telangana) On Some Days Of Week",,,,,," Low probability of Heatwave conditions likely over parts of northwest India (Rajasthan, Punjab, Haryana &amp; Uttar Pradesh), and central India (Vidarbha and adjoining regions of North Telangana) on some days of week.",Minutes of the meeting of CWWG as on 22.06.2026.pdf,1,Minutes of the meeting of CWWG as on 22.06.2026_p1_c3,0.9,VERIFIED,rule_based
2026-06-29,,Crop,Punjab,Pest Incidence,,,,,"No  Warm  Night  Conditions  Are  Likely  Over  Any  Part  Of  The  Country  During  The  Week.  However, Minimum Temperatures Are Likely To Be Above Normal (+1.6 To +3.0°C) Over Parts Of Northwest India (Punjab, Haryana, Rajasthan, &Amp; Uttar Pradesh), And Near Normal (-1.5 To +1.5°C) Across The Rest Of The Country",,,,,,"No Warm Night conditions are likely over any part of the country during the week. However, minimum temperatures are likely to be above normal (+1.6 to +3.0°C) over parts of northwest India (Punjab, Haryana, Rajasthan, &amp; Uttar Pradesh), and near Normal (-1.5 to +1.5°C) across the rest of the country.",Minutes of the meeting of CWWG as on 29.06.2026.pdf,1,Minutes of the meeting of CWWG as on 29.06.2026_p1_c2,0.9,VERIFIED,rule_based
2026-07-06,,Crop,Punjab,Pest Incidence,,,,,"No  Warm  Night  Conditions  Are  Likely  Over  Any  Part  Of  The  Country  During  The  Week.  However, Minimum Temperatures Are Likely To Be Near Normal (+1.6 To +3.0°C) Over Parts Of Northwest India (Punjab, Haryana, Rajasthan, &Amp; Uttar Pradesh), And Near Normal (-1.5 To +1.5°C) For The Country",,,,,,"No Warm Night conditions are likely over any part of the country during the week. However, minimum temperatures are likely to be near normal (+1.6 to +3.0°C) over parts of northwest India (Punjab, Haryana, Rajasthan, &amp; Uttar Pradesh), and near Normal (-1.5 to +1.5°C) for the country.",Minutes of the meeting of CWWG as on 06.07.2026.pdf,1,Minutes of the meeting of CWWG as on 06.07.2026_p1_c2,0.9,VERIFIED,rule_based
